t(s), y1(m), y2(m), v1(m/s), v2(m/s), a1(m/s^2), a2(m/s^2)
19.61749999996762,-1080.3303839590687,-1885.775738445509,-84.22028380692961,-192.2524799997199,-1.3779853991610302,-9.8
19.717599999967387,-1088.7677219318703,-1905.069358791481,-84.3575313821251,-193.23345999971832,-1.3642605043925347,-9.8
19.817699999967154,-1097.2187297860119,-1924.4611752354526,-84.49341195551627,-194.21443999971675,-1.3506723111714845,-9.8
19.91779999996692,-1105.68327136789,-1943.9511877774241,-84.62793914260028,-195.19541999971517,-1.33721945793455,-9.8
20.017899999966687,-1114.1612118799994,-1963.5393964173957,-84.76112642326203,-196.1763999997136,-1.3239005966797635,-9.8
20.117999999966454,-1122.6524178674395,-1983.2258011553668,-84.89298714312515,-197.15737999971202,-1.3107143928314127,-9.8
20.21809999996622,-1131.156757204532,-2003.0104019913379,-85.02353451488932,-198.13835999971045,-1.2976595251063188,-9.8
20.318199999965987,-1139.6740990815902,-2022.8931989253088,-85.15278161965439,-199.11933999970887,-1.284734685381414,-9.8
20.418299999965754,-1148.2043139918044,-2042.8741919572797,-85.28074140823091,-200.1003199997073,-1.271938578562695,-9.8
20.51839999996552,-1156.7472737182675,-2062.9533810872495,-85.40742670243787,-201.08129999970572,-1.2592699224554362,-9.8
20.618499999965287,-1165.3028513211264,-2083.1307663152206,-85.53285019638736,-202.06227999970415,-1.24672744763574,-9.8
20.718599999965054,-1173.8709211248665,-2103.4063476411907,-85.65702445775628,-203.04325999970257,-1.234309897323346,-9.8
20.81869999996482,-1182.4513587057115,-2123.7801250651605,-85.77996192904644,-204.024239999701,-1.2220160272556289,-9.8
20.918799999964587,-1191.0440408791678,-2144.25209858713,-85.90167492883059,-205.00521999969942,-1.2098446055629974,-9.8
21.018899999964354,-1199.64884568767,-2164.8222682071,-86.02217565298788,-205.98619999969785,-1.1977944126453384,-9.8
21.11899999996412,-1208.2656523883597,-2185.4906339250697,-86.1414761759241,-206.96717999969627,-1.1858642410500018,-9.8
21.219099999963888,-1216.894341440997,-2206.257195741039,-86.25958845178278,-207.9481599996947,-1.174052895350675,-9.8
21.319199999963654,-1225.5347944959778,-2227.121953655009,-86.3765243156433,-208.92913999969312,-1.1623591920275924,-9.8
21.41929999996342,-1234.1868943824677,-2248.0849076669783,-86.49229548470589,-209.91011999969155,-1.150781959349004,-9.8
21.519399999963188,-1242.8505250966766,-2269.1460577769476,-86.60691355946601,-210.89109999968997,-1.139320037253773,-9.8
21.619499999962954,-1251.5255717902162,-2290.305403984916,-86.72039002487699,-211.8720799996884,-1.1279722772350738,-9.8
21.71959999996272,-1260.2119207586018,-2311.5629462908846,-86.83273625150059,-212.85305999968682,-1.1167375422253638,-9.8
21.819699999962488,-1268.9094594298624,-2332.9186846948533,-86.94396349664675,-213.83403999968525,-1.10561470648239,-9.8
21.919799999962255,-1277.6180763532602,-2354.3726191968212,-87.054082905501,-214.81501999968367,-1.0946026554764554,-9.8
22.01989999996202,-1286.3376611881151,-2375.9247497967895,-87.16310551224136,-215.7959999996821,-1.0837002857787237,-9.8
22.119999999961788,-1295.0681046927555,-2397.575076494758,-87.27104224114453,-216.77697999968052,-1.0729065049505966,-9.8
22.220099999961555,-1303.8092987135644,-2419.323599290726,-87.37790390768022,-217.75795999967895,-1.062220231434294,-9.8
22.32019999996132,-1312.5611361741549,-2441.170318184694,-87.48370121959431,-218.73893999967737,-1.0516403944445134,-9.8
22.420299999961088,-1321.3235110646267,-2463.1152331766616,-87.58844477798246,-219.7199199996758,-1.0411659338610928,-9.8
22.520399999960855,-1330.096318430954,-2485.158344266629,-87.6921450783526,-220.70089999967422,-1.0307958001227426,-9.8
